Date,Open,High,Low,Close,Adj Close,Volume
07-02-2022,70398.95313,70421.85156,68600,68798.79688,68454.32813,12143
08-02-2022,69240,69800,68500,69426.35156,69078.71875,11669
09-02-2022,69601,70579.85156,69601,70426.60156,70073.96875,5620
10-02-2022,70919.60156,70919.60156,69501,69769.20313,69419.85938,14416
11-02-2022,69700,69700,68038.20313,68233.45313,67891.80469,15042
14-02-2022,67866,67866,65708,65929,65598.89063,18628
15-02-2022,66475,66999.89844,65007.05078,66680.14844,66346.26563,14444
16-02-2022,67240,67275,66000.89844,66140.60156,65809.42969,12266
17-02-2022,66450,66641.39844,65439.64844,65615.75,65290.17188,7727
18-02-2022,65315,66263.29688,65210.30078,65638.95313,65313.26172,19661
21-02-2022,65574.89844,65574.89844,64602.35156,64734.64844,64413.44141,10513
22-02-2022,63000,65999.04688,63000,65769.60156,65443.25391,26513
23-02-2022,66164.20313,66799.95313,65701,65803.60156,65477.08594,11015
24-02-2022,64350,65850,63000,63945.60156,63628.3125,43260
25-02-2022,64100,65814.95313,64022.69922,65651.70313,65325.95313,19903
28-02-2022,65252,66250,64450,65740.95313,65414.75391,13429
02-03-2022,65660,66500,65140.85156,66223.85156,65895.25,18103
03-03-2022,66950,66980,65723,66035.45313,65707.78125,13310
04-03-2022,65600,66199.95313,65000,65911.29688,65584.25,18449
07-03-2022,65140,66448,63741.60156,66153.10156,65824.85938,29607
08-03-2022,66150,66650,65501,66394.85156,66065.39844,8208
09-03-2022,66600,66950,65890.20313,66087.85156,65759.92969,6893
10-03-2022,66687.85156,67497.79688,66555,66881.89844,66550.03125,9680
11-03-2022,66590,68094.04688,66365,67898.29688,67561.38281,7705
14-03-2022,68034,68450,67405.04688,68372.35156,68033.09375,6352
15-03-2022,68200,68995,67500,68085,67747.17188,9065
16-03-2022,68700,68849.89844,68186.64844,68370.45313,68031.20313,7593
17-03-2022,68600,69889,68500.10156,68957.79688,68615.63281,14905
21-03-2022,69652.64844,69860,66588,66876.35156,66544.51563,12368
22-03-2022,67248.89844,67300,65900,67096.60156,66763.67188,9663
23-03-2022,67105,67726.60156,66611.10156,66844.70313,66513.02344,8261
24-03-2022,66840,67399.95313,66450,66718.75,66387.69531,7400
25-03-2022,66900.04688,67179.64844,66000,66501.10156,66171.13281,5838
28-03-2022,66500,66500,64955.80078,65708.64844,65382.59766,9839
29-03-2022,65790,66878.35156,65010,65297.05078,64973.05469,9704
30-03-2022,65849.54688,65899.95313,65134.55078,65358.89844,65034.59375,7190
31-03-2022,65495,65800,64701.44922,65022.10156,64699.46484,10386
01-04-2022,65100,66650,65099.94922,66485.20313,66155.30469,7651
04-04-2022,66710,67259.95313,66710,67129.89844,66796.79688,6506
05-04-2022,67129.89844,68100,67129.89844,67756.04688,67419.84375,7621
06-04-2022,67790,67956.04688,67203.14844,67630.85156,67295.27344,6216
07-04-2022,67750,68194.14844,66900,67109.25,66776.25781,8501
08-04-2022,67490,68128.95313,66708.64844,67782.85156,67446.51563,12652
11-04-2022,67500,68000,67301.04688,67765.64844,67429.39844,4286
12-04-2022,67600,67987.20313,66565.29688,67585.70313,67250.34375,13531
13-04-2022,67650,68121,67011,67447.29688,67112.625,8522
18-04-2022,67003,67480.45313,66000.14844,66944.95313,66612.78125,11982
19-04-2022,67004,67797.54688,65800,66361.39844,66032.10938,17383
20-04-2022,66699.79688,68352.25,66501.60156,67670.39844,67334.63281,9721
21-04-2022,68005,70100,67860,69714.79688,69368.875,11532
22-04-2022,69625,69625,68600,69143.85156,68800.75781,6278
25-04-2022,68550,69499,68235.35156,69115.89844,68772.95313,9387
26-04-2022,69500,71537.89844,69225,71331.5,70977.54688,16723
27-04-2022,70315,72599.89844,70200,72218.95313,71860.60938,14670
28-04-2022,72648,72648,71254,72330.70313,71971.80469,11877
29-04-2022,72330,73400,71801.29688,72729,72368.125,11934
02-05-2022,72000,72850,71778.5,72597.5,72237.27344,5432
04-05-2022,72800,73310.64844,71300,71878.35156,71521.70313,9510
05-05-2022,72190,72850,70777,71182.14844,70828.95313,7309
06-05-2022,70650,70831.85156,69250,69913.60156,69566.6875,8667
09-05-2022,69601,69855,68325.20313,68578,68237.71875,11683
10-05-2022,68490,70939.89844,67200,68810.04688,68468.61719,28293
11-05-2022,68350,69274.89844,67817.14844,68110.70313,67772.74219,10262
12-05-2022,67990,68199.95313,66680,67622.04688,67286.50781,11473
13-05-2022,67690,73280.60156,67690,72050.89844,71693.38281,28470
16-05-2022,71780,73240,71400.10156,72528.39844,72168.51563,12665
17-05-2022,72800,74300,72600,74006.75,73639.54688,10590
18-05-2022,74205,74849.95313,73811.04688,74687.64844,74317.05469,10398
19-05-2022,73500,74250,73001,73434.75,73070.375,8680
20-05-2022,74200,74679.95313,73978.79688,74104.95313,73737.25,7777
23-05-2022,74500,75146.89844,73066.29688,73386.20313,73022.0625,8044
24-05-2022,73499.95313,74598.89844,73112.95313,74395.5,74026.35938,7073
25-05-2022,74564.25,75428,73574.60156,74824.25,74452.98438,7765
26-05-2022,75000,75300,73400,75060.95313,74688.50781,9279
27-05-2022,75210,75690,74300,74654.85156,74284.41406,7417
30-05-2022,74900,75795.5,74862.14844,75388.04688,75013.97656,6081
31-05-2022,75400,78165.64844,75237.45313,77649.45313,77264.17188,27991
01-06-2022,77200,77570,76000,76331.5,75952.75,7322
02-06-2022,75501.10156,75999.85156,75030.39844,75872.79688,75496.32031,5643
03-06-2022,76061,76887.95313,76061,76460.35156,76080.96875,10174
06-06-2022,76390,76672.85156,74555.04688,74712.29688,74341.57813,8339
07-06-2022,74000,74497.25,71337.60156,71659,71303.4375,12064
08-06-2022,71701,72396.64844,70320,70653.54688,70302.96875,10536
09-06-2022,70000,70700,70000,70425.75,70076.30469,5276
10-06-2022,70115.95313,70545,69718.5,69952.25,69605.15625,6364
13-06-2022,69000,69307.79688,68215.79688,68558.54688,68218.35938,5879
14-06-2022,67506,69500,67506,68202.25,67863.83594,6121
15-06-2022,68202.25,69551,68202.25,68441.70313,68102.10156,7761
16-06-2022,69295,69314.95313,67000,67176.60156,66843.27344,7091
17-06-2022,67000,69130,65878.35156,68124.54688,67786.52344,17498
20-06-2022,68260.79688,68599.89844,66491.45313,66651.54688,66320.82031,6721
21-06-2022,66658,68299.95313,66658,68091.54688,67753.67188,5942
22-06-2022,67600,68230,67350,68040.60156,67702.98438,4849
23-06-2022,68040.60156,69280,68040.54688,69006.20313,68663.78906,7455
24-06-2022,68900,70775,68900,70553,70202.92188,12532
27-06-2022,71200,71907.70313,70900,71221.75,70868.35938,8117
28-06-2022,71000,72599.75,70567.70313,72268.64844,71910.0625,10643
29-06-2022,71567,72000,71150,71523.75,71168.85156,6071
30-06-2022,71748,72099.79688,70425,70800.89844,70449.58594,6089
01-07-2022,70300,72500,70300,72194.29688,71836.07031,5409
04-07-2022,71900,72499.85156,71600,71776.45313,71420.29688,4102
05-07-2022,72000,72340,71056.45313,71221.14844,70867.75781,3862
06-07-2022,71721.95313,73500,71499.45313,73230.20313,72866.84375,7785
07-07-2022,73825,75500,73346.29688,75337.89844,74964.08594,12354
08-07-2022,75337.89844,76454,75335.04688,76044.95313,75667.625,10071
11-07-2022,76000,76500,75300,76375.85156,75996.86719,8025
12-07-2022,76000,76900,75829.04688,76664.64844,76284.25,7467
13-07-2022,76674,77600,76674,77273.75,76890.32031,7992
14-07-2022,77399.79688,77863.45313,76532.29688,77414.89844,77030.78125,6630
15-07-2022,77724,79729.64844,77629.54688,79558.10156,79163.32813,14260
18-07-2022,79602,80998.95313,79600,80742.5,80341.85938,15460
19-07-2022,80500,80820.89844,79191.54688,79941.79688,79545.13281,8431
20-07-2022,80075,80618.85156,79400,79784.60156,79388.71875,7028
21-07-2022,79630,80418.39844,79555,80178.39844,79780.5625,6751
22-07-2022,80290,80738,79136.29688,79400.60156,79006.625,6537
25-07-2022,79600,81198.95313,79531.79688,80834.04688,80432.96094,11727
26-07-2022,80829,80965.75,79830.79688,80150.20313,79752.50781,5871
27-07-2022,80150,80971,79650,80864.95313,80608.53125,5546
28-07-2022,81010,83300,81010,83046.5,82783.15625,14509
29-07-2022,83479,83970,82552.29688,83818.14844,83552.35156,12547
01-08-2022,84000,87400,83998.35156,86950.35156,86674.63281,16248
02-08-2022,86930,88950,86300,88173.14844,87893.55469,18522
03-08-2022,88174,88950,87216.75,88738.95313,88457.5625,15400
04-08-2022,88988.95313,89499.89844,87736.64844,88711.79688,88430.48438,11181
05-08-2022,89000,89150,87855.95313,88895.45313,88613.5625,9228
08-08-2022,88500.04688,88900,87500,87717.5,87439.34375,8338
10-08-2022,86805,87234.89844,82610,83466.60156,83201.92969,26092
11-08-2022,83999,84598,82101,82500.70313,82239.08594,12363
